Sample	Input_reads	Uniquely_mapped_reads_pct	Multi_mapped_pct	Too_many_loci_pct	Unmapped_too_short_pct	Unmapped_other_pct	Mismatch_rate_per_base_pct	Average_input_read_length	Average_mapped_length
M2_C1_n1_S1	90714094	87.36%	9.17%	0.04%	3.42%	0.01%	0.47%	200	191.95
M2_C1_n2_S11	44551576	85.61%	10.63%	0.03%	3.72%	0.01%	0.43%	200	192.34
M2_C1_n3_S21	50843339	94.52%	4.13%	0.02%	1.32%	0.01%	0.42%	201	192.79
M2_C1_n4_S31	76534966	95.09%	3.66%	0.03%	1.22%	0.01%	0.42%	201	192.70
M2_C1_n5_S41	69425756	85.89%	10.50%	0.04%	3.56%	0.01%	0.44%	200	192.23
M2_C2_n1_S3	93050472	88.49%	8.33%	0.04%	3.13%	0.01%	0.43%	200	192.43
M2_C2_n2_S13	69127296	88.38%	8.74%	0.04%	2.83%	0.01%	0.42%	200	192.48
M2_C2_n3_S23	39578200	94.84%	3.90%	0.02%	1.22%	0.01%	0.41%	201	192.79
M2_C2_n4_S33	65396679	94.12%	4.21%	0.04%	1.62%	0.01%	0.48%	201	192.60
M2_C2_n5_S43	65419878	90.36%	6.98%	0.04%	2.61%	0.01%	0.44%	200	192.42
M2_C3_n1_S5	87606241	85.91%	6.85%	0.04%	7.20%	0.01%	0.44%	200	192.52
M2_C3_n2_S15	66425523	89.05%	7.75%	0.03%	3.16%	0.01%	0.42%	200	192.62
M2_C3_n3_S25	97545020	93.77%	4.69%	0.02%	1.51%	0.01%	0.41%	201	192.57
M2_C3_n4_S35	68393854	94.67%	3.83%	0.03%	1.46%	0.01%	0.42%	201	192.80
M2_C3_n5_S45	72842952	88.51%	8.30%	0.04%	3.14%	0.01%	0.43%	200	192.24
M2_C4_n1_S7	76890154	87.77%	7.71%	0.05%	4.46%	0.01%	0.41%	200	191.78
M2_C4_n2_S17	50205056	88.29%	8.27%	0.05%	3.38%	0.01%	0.42%	200	192.34
M2_C4_n3_S27	71818804	94.09%	4.02%	0.02%	1.86%	0.01%	0.41%	200	192.50
M2_C4_n4_S37	99187015	93.75%	4.43%	0.03%	1.78%	0.01%	0.43%	201	192.66
M2_C4_n5_S47	80039864	84.88%	11.63%	0.04%	3.45%	0.01%	0.43%	200	192.14
M2_C5_n1_S9	66079139	88.15%	8.75%	0.04%	3.05%	0.01%	0.43%	200	191.91
M2_C5_n2_S19	59435963	79.63%	17.45%	0.03%	2.88%	0.01%	0.42%	200	192.46
M2_C5_n3_S29	59189007	93.98%	4.52%	0.02%	1.47%	0.01%	0.43%	201	192.74
M2_C5_n4_S39	69819732	93.34%	4.75%	0.03%	1.87%	0.01%	0.44%	201	192.56
M2_C5_n5_S49	84406141	89.12%	8.67%	0.05%	2.15%	0.01%	0.43%	200	192.53
M2_Creno_n1_S4	3140440	87.31%	9.54%	0.03%	3.11%	0.01%	0.42%	200	192.16
M2_Creno_n2_S14	55219205	76.92%	19.31%	0.03%	3.73%	0.01%	0.41%	200	192.22
M2_Creno_n3_S24	106206847	91.94%	6.30%	0.02%	1.74%	0.01%	0.42%	201	192.83
M2_Creno_n4_S34	96828212	92.62%	5.13%	0.03%	2.21%	0.01%	0.43%	200	192.50
M2_Creno_n5_S44	81468769	88.49%	8.87%	0.06%	2.57%	0.01%	0.43%	200	192.46
M2_Gilt_n1_S2	94046711	84.95%	8.33%	0.08%	6.63%	0.01%	0.42%	200	192.39
M2_Gilt_n2_S12	68027774	89.14%	7.25%	0.04%	3.56%	0.01%	0.41%	200	192.30
M2_Gilt_n3_S22	40382633	93.74%	4.54%	0.04%	1.67%	0.01%	0.41%	201	192.73
M2_Gilt_n4_S32	64725995	94.25%	4.04%	0.03%	1.67%	0.01%	0.40%	201	192.55
M2_Gilt_n5_S42	95633834	87.43%	9.66%	0.06%	2.83%	0.01%	0.41%	200	192.50
M2_Mido_n1_S8	88602006	87.57%	7.23%	0.08%	5.10%	0.01%	0.43%	200	192.38
M2_Mido_n2_S18	49401444	83.31%	8.71%	0.07%	7.90%	0.01%	0.41%	200	192.26
M2_Mido_n3_S28	50194799	93.06%	5.07%	0.03%	1.83%	0.01%	0.46%	200	192.29
M2_Mido_n4_S38	64460006	92.49%	5.17%	0.02%	2.30%	0.01%	0.43%	201	192.62
M2_Mido_n5_S48	137861346	87.85%	7.84%	0.08%	4.23%	0.01%	0.42%	200	192.46
M2_Quiz_n1_S6	85877816	89.50%	7.90%	0.02%	2.57%	0.01%	0.44%	200	192.23
M2_Quiz_n2_S16	54395453	89.15%	8.07%	0.03%	2.74%	0.01%	0.41%	200	192.49
M2_Quiz_n3_S26	67606173	92.25%	5.26%	0.03%	2.45%	0.01%	0.39%	200	192.39
M2_Quiz_n4_S36	58499123	93.85%	4.47%	0.04%	1.63%	0.01%	0.43%	201	192.64
M2_Quiz_n5_S46	133130352	86.17%	10.99%	0.03%	2.80%	0.01%	0.42%	200	192.36
M2_Sora_n1_S10	45899789	88.91%	7.18%	0.04%	3.86%	0.01%	0.41%	200	192.56
M2_Sora_n2_S20	63371098	89.78%	7.57%	0.03%	2.62%	0.01%	0.44%	200	192.52
M2_Sora_n3_S30	86651669	93.43%	4.73%	0.03%	1.79%	0.01%	0.41%	201	192.74
M2_Sora_n4_S40	60064854	93.66%	4.43%	0.04%	1.87%	0.01%	0.43%	200	192.55
M2_Sora_n5_S50	103257822	79.45%	13.89%	0.05%	6.60%	0.01%	0.42%	200	192.42
